,Generator_speed,Rotor_speed,Gearbox_oil_temperature,Generator_bearing_temperature_drive,Generator_bearing_temperature_nondrive,wind_speed,active_power,category
2215,1215.12059,9.28459,56.5,38.6,44.8,4.92272,313.18212,9
2220,1106.75204,8.42416,56.5,38.6,44.8,4.19626,186.39938,5
2225,1099.62348,8.42817,56.5,38.6,44.8,3.2338400000000003,55.02354,3
2230,1106.18173,8.43017,56.5,38.6,44.8,3.81246,218.43517000000003,5
2235,1191.51385,9.12651,56.5,38.6,44.8,6.95492,278.55563,10
2240,1264.02976,9.69679,57.5,38.6,44.8,5.70408,354.56628,13
2245,1325.37995,10.19904,57.5,38.6,44.8,5.6316,413.76528,13
2250,1710.11011,13.08847,57.5,38.6,44.8,7.15332,881.07612,4
2255,1607.17422,12.41414,58.5,38.6,44.8,5.48144,760.6555,1
2260,1602.74724,12.23605,58.5,38.6,44.8,6.4181599999999985,712.93756,1
