Unnamed: 0,Generator_speed,Rotor_speed,Gearbox_oil_temperature,Generator_bearing_temperature_drive,Generator_bearing_temperature_nondrive,wind_speed,active_power,category,distance
1185,1761.33044,13.42063,64.5,35.6,49.8,10.25302,2056.59988,9,1.4968762955316168
1190,1756.30312,13.45465,64.5,35.6,49.8,11.2795,2018.12575,9,1.1889049939527854
1195,1765.78775,13.44464,64.5,36.6,50.8,9.14143,1567.6595,1,0.7270015468122518
1200,1746.7284,13.424629999999999,64.5,36.6,50.8,7.61035,1381.4225,4,1.712324548606282
1205,1752.7912199999994,13.40262,64.5,36.6,50.8,7.40625,1074.49525,4,1.128717666441303
1210,1645.4582300000006,12.68827,64.5,36.6,50.8,7.4169899999999975,786.1243099999997,8,0.6728591219746556
1215,1517.9401599999999,11.55371,63.5,36.6,50.8,5.38775,600.53362,5,1.4382044572082922
1220,1745.87295,13.370610000000001,63.5,36.6,50.8,7.2711,955.2003800000001,8,1.0743996369860862
1225,1253.67452,9.64076,62.5,36.6,50.8,5.72445,345.40709,5,0.8737898044612866
1230,1108.28276,8.44017,61.5,36.6,50.8,3.24005,63.765409999999996,7,1.0376754134570605
1249,1779.45955,13.66475,56.5,36.6,47.8,7.79846,1200.67838,4,0.3210952387582288
1254,1756.27309,13.44064,58.5,36.6,47.8,8.21004,1310.6115,12,1.0184637526236708
1264,1524.31845,11.71579,59.5,36.6,47.8,5.53909,624.50681,5,1.4891174679751005
1269,1518.79576,11.62775,59.5,36.6,46.8,7.121239999999999,598.59181,0,0.850954619778828
1274,1637.7595900000001,12.49818,59.5,36.6,46.8,7.56755,744.0405599999997,8,0.8406026400392428
1279,1738.80453,13.296570000000001,59.5,36.6,46.8,8.225010000000001,1277.488,4,1.1578862597505057
1284,1535.45392,11.70378,59.5,36.6,46.8,5.643,626.01131,5,1.4606165120652506
1289,1099.30837,8.43417,59.5,36.6,46.8,2.7806,44.34129,7,0.3999135092845909
1296,1097.52239,8.42817,57.5,36.6,45.8,3.2322599999999997,37.03597,7,1.0778849898443288
1319,1101.76955,8.42216,52.5,35.6,42.8,2.6865799999999997,94.44202,7,0.5613242146024097
1324,1107.0071599999999,8.420160000000001,53.5,34.6,42.8,4.18053,157.78631000000001,2,0.704051499914686
1329,1099.5334599999999,8.43417,53.5,34.6,42.8,4.12519,147.84784,2,0.5481148447369185
1334,1099.96869,8.42817,53.5,34.6,42.8,4.301830000000002,154.3072,2,1.0801989771351463
1339,1101.22928,8.44617,53.5,34.6,42.8,2.9939299999999998,47.958259999999996,7,0.4319728299269111
1344,1109.13814,8.44818,53.5,34.6,42.8,3.88498,154.1047,2,0.21803798967677107
1349,1109.07815,8.436169999999999,53.5,35.6,43.8,4.20556,168.37783000000005,2,0.7871135400009073
1354,1235.17046,9.526710000000001,53.5,35.6,43.8,5.55393,336.27468999999996,5,1.004643959034624
1359,1419.6866699999994,10.88138,53.5,35.6,43.8,5.11261,499.43480999999997,5,1.4223664955299835
1364,1288.37183,9.88889,53.5,36.6,44.8,4.4793400000000005,376.33972,11,1.4625946150803557
1369,1760.55021,13.422629999999998,53.5,36.6,44.8,7.66582,971.0355599999999,8,0.8976557297313076
1374,1634.38282,12.47016,54.5,37.6,45.8,5.99559,763.7506900000003,13,1.0310573871914799
1379,1399.9819400000001,10.78133,54.5,37.6,45.8,5.63085,479.51480999999995,5,0.2862679277214801
1384,1434.3939599999999,10.98943,54.5,37.6,45.8,7.2413300000000005,512.7121900000002,0,1.1733912436509837
1389,1284.39473,9.856869999999999,54.5,37.6,45.8,5.69614,367.75043999999997,5,0.6862827262371456
1394,1230.1730300000004,9.39064,54.5,37.6,45.8,5.8777800000000004,318.41447,5,1.173151457044128
1399,1139.61825,8.746319999999999,54.5,37.6,45.8,4.33451,258.68689,2,1.6059190592781167
1404,1153.5451699999999,8.83437,54.5,37.6,44.8,5.12242,265.79681,11,0.6202940739519746
1409,1106.3768699999996,8.43217,53.5,36.6,44.8,3.9685300000000003,145.39517,2,0.16322250310003222
1414,1104.54591,8.42817,53.5,36.6,44.8,3.6236099999999998,141.90498,2,1.0357164497963247
1419,1100.73405,8.42817,53.5,36.6,43.8,3.9083,174.49455,2,0.214107290338178
1424,1105.64146,8.42416,52.5,36.6,43.8,3.68842,147.32952,2,0.8280626341494601
1429,1098.7530800000004,8.44617,52.5,35.6,43.8,4.11135,104.7433,2,0.776770003029861
1434,1094.77606,8.42416,51.5,35.6,42.8,3.295,28.123829999999998,7,1.2746223020551104
1477,1109.03317,8.44617,49.5,34.6,40.8,3.6185099999999997,158.43558000000004,2,1.0331856360440599
